dataset,model,epochs,auroc,aupr,recall_at_fpr_1em04,f1_at_fpr_1em04,actual_fpr_at_1em04,recall_at_fpr_5em04,f1_at_fpr_5em04,actual_fpr_at_5em04,recall_at_fpr_1em03,f1_at_fpr_1em03,actual_fpr_at_1em03
ctt_test01,cmf_can,15,0.9907451786831104,0.9781093030763408,0.9653388515261252,0.9815886375591796,5.445733267984534e-05,0.9679255043973098,0.976768467762986,0.0004901159941186,0.9684428349715468,0.9701995335579164,0.0009802319882372
ctt_test01,concat_fusion,15,0.9875688953576576,0.975534988105138,0.9555095706156234,0.9764736981231829,5.445733267984534e-05,0.9622348680807036,0.9753539590980598,0.0003812013287589,0.9632695292291774,0.97359477124183,0.0005445733267984
ctt_test01,transformer,15,0.9968966598253644,0.98438087210754,0.9715468184169684,0.9850511408339888,3.630488845323023e-05,0.9736161407139162,0.9812304483837332,0.0003812013287589,0.9741334712881532,0.9743855109961188,0.0008894697671041
ctt_test02,cmf_can,15,0.9683574023354516,0.9324805949532672,0.7680099857346647,0.8683467741935484,8.493723138600574e-05,0.8074179743223966,0.8909878000787091,0.0004756484957616,0.829172610556348,0.9015122140364482,0.0009852718840776
ctt_test02,cmf_can_robust,15,0.9574581077700556,0.8128687690718236,0.0579529243937232,0.1094644661502189,8.493723138600574e-05,0.1271398002853067,0.2245669291338582,0.0004926359420388,0.1861626248216833,0.3111773472429209,0.0009852718840776
ctt_test02,concat_fusion,15,0.93873470836008,0.8291933931589583,0.2694365192582025,0.4241998877035373,8.493723138600574e-05,0.4299215406562054,0.599155069582505,0.0004926359420388,0.5381597717546363,0.6950713956701982,0.0009852718840776
ctt_test02,stats_only,15,0.8710008119441959,0.824823372184875,0.7523181169757489,0.8582180634662326,8.493723138600574e-05,0.7551711840228246,0.8580690912774795,0.0004756484957616,0.7578459343794579,0.8572004840661557,0.0009852718840776
ctt_test02,transformer,15,0.1151742375223511,0.0488543960236108,0.0,0.0,0.0,0.0005349500713266,0.0010640184429863,0.0004756484957616,0.0005349500713266,0.0010640184429863,0.0004756484957616
ctt_test03,cmf_can,15,0.7792276774065259,0.3044429685189416,0.0832334531895059,0.1535437906891045,8.878966995611254e-05,0.0849647090158476,0.1558949297495418,0.000482001065476,0.0869623118923958,0.1584951456310679,0.0009893706080823
ctt_test03,cmf_can_robust,15,0.7860212383512144,0.3031743778625658,0.0807031562125449,0.1492243289830091,8.878966995611254e-05,0.0857637501664669,0.1572265625,0.0004946853040411,0.0876281795179118,0.1596312469674915,0.0009766863695172
ctt_test03,concat_fusion,15,0.7924485771694834,0.3281309018456552,0.0797709415368224,0.1476824457593688,5.073695426063573e-05,0.0846983619656412,0.1554252199413489,0.0004946853040411,0.0868291383672925,0.1582716349071489,0.0009893706080823
ctt_test03,stats_only,15,0.8584064867949408,0.3882426277220577,0.0431482221334398,0.082684700778359,5.073695426063573e-05,0.0504727660141163,0.0956466876971608,0.0004693168269108,0.0561992275935544,0.1053946053946053,0.0009766863695172
ctt_test03,transformer,15,0.6187847176131567,0.2707812715770379,0.0753762152084165,0.1400643405097748,8.878966995611254e-05,0.0904248235450792,0.1650863116946267,0.000482001065476,0.1001464908776135,0.1803573569972418,0.0009893706080823
ctt_test04,cmf_can,15,0.6845533646532422,0.1655882870835184,0.0033222591362126,0.0065832784726793,6.886261907494549e-05,0.015282392026578,0.029040404040404,0.0004284785186885,0.1275747508305647,0.2104109589041095,0.0009793794712881
ctt_test04,cmf_can_robust,15,0.7386534981206403,0.143382069636528,0.0372093023255813,0.0712015257469803,9.181682543326065e-05,0.0631229235880398,0.1141826923076923,0.000489689735644,0.0770764119601328,0.1328751431844215,0.0009564252649297
ctt_test04,concat_fusion,15,0.7110974843282889,0.2231220253826226,0.1023255813953488,0.1842105263157894,9.946822755269905e-05,0.1242524916943521,0.2135922330097087,0.0004514327250468,0.1654485049833887,0.2643312101910828,0.0009946822755269
ctt_test04,stats_only,15,0.7296082901543868,0.2940370546452382,0.1581395348837209,0.2710706150341685,9.946822755269905e-05,0.1847176079734219,0.3013550135501355,0.0004743869314051,0.2079734219269103,0.3215202876219825,0.0009870308734075
ctt_test04,transformer,15,0.6453118473827439,0.1732558303780162,0.0,0.0,0.0,0.0584717607973421,0.1090458488228004,0.0001606794445082,0.0584717607973421,0.1090458488228004,0.0001606794445082
