label_ratio,model,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,auroc_mean,auroc_std,aupr_mean,aupr_std,fpr_mean,fpr_std,recall_at_fpr_1em04_mean,recall_at_fpr_1em04_std,f1_at_fpr_1em03_mean,f1_at_fpr_1em03_std
0.01,cmf_can,0.46546547930158905,0.11170346401851598,0.5553632464164319,0.11084377971490465,0.40509259259259256,0.11407334915674532,0.8107759108783825,0.06532713502909344,0.4596791137294471,0.12333133728700461,0.016541549466311468,0.005835699047443255,0.06859161793372316,0.023486801532360487,0.2948825661307834,0.083804877109363
0.01,concat_fusion,0.3743807916334907,0.10334629187819325,0.4228505848347923,0.13019344527064422,0.33650097465886936,0.08535224117025825,0.765542721796668,0.06293978164937053,0.32173317949504115,0.1039033968499514,0.023831256325714503,0.0064939529878055196,0.0185185185185185,0.005919849226733127,0.11338673630604336,0.02626790881026495
0.01,transformer,0.35853255544032897,0.04414459898964427,0.4091970662303872,0.025199698434780614,0.32102826510721244,0.05714431164443835,0.7963195777308559,0.03169099091672851,0.3473591430635601,0.05381914381489718,0.02351458251836393,0.003235963782264423,0.03825536062378163,0.035134010440388073,0.20803766296230816,0.049402923319949804
0.05,cmf_can,0.789090608055187,0.005562013874255926,0.9869026775654725,0.005492806216575871,0.6574074074074074,0.009890956868808344,0.9156712182489662,0.010672698076627057,0.7829728900704379,0.02311636268668264,0.00044706890449486666,0.00019713885670058604,0.5337475633528266,0.06694219719969072,0.8024501489130035,0.004513657063755907
0.05,concat_fusion,0.7866017404432827,0.026572058999670845,0.9813319174980745,0.007547958596983641,0.6567982456140351,0.03529460510933472,0.871256335791014,0.029173311361564726,0.7476617693111479,0.009464487408996978,0.0006333476147010667,0.00025061237350883643,0.36269493177387907,0.20723920568251727,0.8011897159637097,0.015517991430187754
0.05,transformer,0.8165714611639633,0.005519272003389751,0.9852167865998921,0.006442426012359554,0.6972465886939571,0.00686057905716429,0.8425465778022808,0.028732541160654157,0.7434272012108206,0.006807646389922098,0.0005339989692577668,0.00023587131758932202,0.50791910331384,0.2033718920540954,0.818642891320772,0.004642330376354416
0.1,cmf_can,0.7720978835069,0.01681560026867351,0.9954144587068633,0.0013678432903737499,0.6308479532163743,0.02275788022815515,0.9158190724362377,0.002276962692789644,0.7750777468269913,0.01169636037840546,0.00014902296816493335,4.928471417515124e-05,0.5711500974658869,0.039664993775934784,0.8124399777495009,0.009497937703990341
0.1,concat_fusion,0.7911647335845643,0.018790490474668842,0.9947186479559319,0.005854648200855617,0.6569200779727096,0.023215059240183536,0.8647178237025607,0.037522708237858055,0.7503236334722976,0.010873757492849719,0.00017386012952578245,0.0001884394303037158,0.5074317738791423,0.3021213805169779,0.8176678516278559,0.006542175261334983
0.1,transformer,0.8149497459087435,0.010107365353219051,0.990324101877622,0.004459076992944718,0.692495126705653,0.01653377778104312,0.8503257598873235,0.06316431234425321,0.7469530600788348,0.02960247305795436,0.00034772025905153336,0.00016799544559066614,0.19785575048732942,0.3023927491983477,0.819743188226743,0.003645529712310805
0.2,cmf_can,0.7834830493993677,0.007332875917297595,0.9981060178040765,0.0008949345295912221,0.6448586744639376,0.00954033720782256,0.9423420686065578,0.004769690142792042,0.8062299969228715,0.023285044833749595,6.209290340207018e-05,2.8454542995956757e-05,0.6742202729044834,0.02141929289160222,0.8217354769645185,0.0008457267884571543
0.2,concat_fusion,0.7856606111116268,0.01186278763790577,0.9977266913147661,0.0020646119730129333,0.6480263157894738,0.015536850370491488,0.8611485994745923,0.05025533887552814,0.7523498548432777,0.018118119335491713,7.45114840824614e-05,6.716374411754096e-05,0.6714181286549707,0.0332602339181287,0.8163808104939169,0.006370032554693853
0.2,transformer,0.8127104473735239,0.004180857540621273,0.9957627464094515,0.0013781315779421983,0.6865253411306043,0.00611957522167363,0.8318312127245134,0.029295080369384968,0.7367296332857943,0.0072449450327697245,0.00014902296816493335,4.928471417515126e-05,0.39571150097465885,0.3427821558371462,0.8184882150620275,0.0024197169098609974
1.0,cmf_can,0.7904653825091303,0.024085622417017453,0.9996217611963827,0.0003285215224224231,0.6541179337231969,0.032505275137723784,0.9459817237981292,0.03238386070699779,0.8135167170203763,0.044731662742619194,1.2418580680414035e-05,1.0754806348185194e-05,0.7021198830409356,0.003850750640662547,0.8223828156294059,0.00040528469565484363
1.0,concat_fusion,0.7910413895920305,0.016659652461535147,0.9998095238095238,0.00032991443953693614,0.6546052631578947,0.022895409010768746,0.8981120226058836,0.040001652681492736,0.7675978627502417,0.033846527310504984,6.2092903402070175e-06,1.0754806348185194e-05,0.7065058479532164,0.0009670143680791907,0.8222754106425524,0.0014137885153342412
1.0,transformer,0.8256616385120698,0.0021844652157230493,0.9982730333625359,0.0005959000238466184,0.7039473684210527,0.0032486090706563544,0.9074930302531513,0.04172408703758679,0.7668282223244859,0.023928515789471045,6.209290340207018e-05,2.1509612696370388e-05,0.7057748538011696,0.0038159015017948206,0.8221164624009917,0.001329484359455243
