dataset,model,seed,label_ratio,epochs,accuracy,precision,recall,f1,macro_f1,aupr,auroc,fpr,fnr,threshold,recall_at_fpr_1em04,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,recall_at_fpr_5em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,recall_at_fpr_1em03,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03,aux_loss_weight
road,cmf_can,42,0.01,20,0.9648877151314273,0.6801909307875895,0.5208333333333334,0.5899399710204927,0.7857992836112954,0.5974429585590078,0.8824401664068023,0.0124806735838161,0.4791666666666667,0.882061243057251,0.0932017543859649,0.1702269692923898,9.313935510310526e-05,0.9955706000328064,0.18823099415204678,0.3143118706133659,0.0004843246465361474,0.9930363297462463,0.24817251461988304,0.3915801614763552,0.0009872771640929159,0.9908900856971741,0.2
road,concat_fusion,42,0.01,20,0.9567344334355448,0.5718460789089138,0.4290935672514619,0.490290248486114,0.7338493232638716,0.4323152186276287,0.8231817155354157,0.0163738986271259,0.570906432748538,0.8871957764029501,0.0222953216374269,0.04354032833690222,9.313935510310526e-05,0.9836228489875793,0.044956140350877194,0.08526863084922012,0.0004843246465361474,0.979963481426239,0.06871345029239766,0.1263016459523009,0.0009872771640929159,0.9760800004005432,0.2
road,transformer,42,0.01,20,0.9442386430103334,0.3866150442477876,0.2554824561403508,0.3076584507042254,0.6393039515603975,0.2869319508837041,0.7653254953570303,0.0206583089618687,0.7445175438596491,0.8257353141903877,0.0219298245614035,0.042841842199214566,9.313935510310526e-05,0.9586344957351685,0.06505847953216375,0.12112963593058865,0.00046569677551552634,0.9481891989707947,0.08662280701754387,0.156694214876033,0.0009686492930722948,0.9402409791946411,0.2
road,cmf_can,42,0.05,20,0.9826476896081108,0.9888703394546466,0.6494883040935673,0.7840282373703948,0.8874944750861022,0.7586424281757222,0.9036993842072474,0.0003725574204124,0.3505116959064328,0.9998043477535248,0.4652777777777778,0.6342800199302442,9.313935510310526e-05,0.9999269247055054,0.660453216374269,0.7909827095644563,0.0004843246465361474,0.9997021555900574,0.6758040935672515,0.7974983825749408,0.0009686492930722948,0.9983018636703491,0.2
road,concat_fusion,42,0.05,20,0.9813183502011734,0.9827784156142364,0.6257309941520468,0.7646270656543099,0.8774501145916437,0.7418808994689614,0.8700418578338314,0.0005588361306186,0.3742690058479532,0.9998773455619812,0.3380847953216374,0.5046372067648663,9.313935510310526e-05,0.9999597072601318,0.6147660818713451,0.756975697569757,0.0004843246465361474,0.9998873472213745,0.6765350877192983,0.7981888745148772,0.0009500214220516737,0.9997192025184631,0.2
road,transformer,42,0.05,20,0.9843846930998422,0.983828899321857,0.689327485380117,0.8106597893831936,0.9012581657088358,0.7460029637503552,0.8511332683373143,0.0005774640016392,0.31067251461988304,0.9999830335378647,0.5880847953216374,0.7397701149425286,9.313935510310526e-05,0.9999973773956299,0.6889619883040936,0.8112760921024317,0.0004843246465361474,0.9999854564666748,0.702485380116959,0.8159626406283166,0.0009872771640929159,0.9989218711853027,
road,cmf_can,42,0.1,20,0.9828249348623691,0.9938513135830072,0.6498538011695907,0.7858563535911602,0.8884550295279391,0.7688377618972789,0.9180065287147544,0.0002049065812268,0.35014619883040937,0.9993012085556984,0.5899122807017544,0.7412169919632606,9.313935510310526e-05,0.9998236298561096,0.6739766081871345,0.8006947459834998,0.0004843246465361474,0.9847821593284607,0.680921052631579,0.8016351118760757,0.0009127656800104316,0.5892278552055359,0.2
road,concat_fusion,42,0.1,20,0.9839238554387706,0.9978225367446923,0.6699561403508771,0.8016619287120053,0.8966421683462118,0.743850891637602,0.8383865620662689,7.451148408248421e-05,0.3300438596491228,0.007152219978159979,0.6765350877192983,0.8061846689895471,9.313935510310526e-05,0.0010188056621700525,0.7043128654970761,0.8219236510983152,0.0004843246465361474,9.35425705392845e-05,0.7068713450292398,0.8194915254237289,0.0009313935510310527,8.620321023045108e-05,0.2
road,transformer,42,0.1,20,0.9840124780658998,0.9946062567421792,0.6739766081871345,0.8034858387799564,0.8975765606581771,0.7811054920751468,0.9127549022619572,0.0001862787102062,0.3260233918128655,0.9999995231628418,0.5467836257309941,0.706160018881284,9.313935510310526e-05,0.9999997615814209,0.6977339181286549,0.8173838578462855,0.0004843246465361474,0.9999860525131226,0.702485380116959,0.8164825828377231,0.0009313935510310527,0.43319645524024963,0.2
road,cmf_can,42,0.2,20,0.9831085272691824,0.9988808058198098,0.6524122807017544,0.7892991377404378,0.8902503628507387,0.8024020203597876,0.9445185678478806,3.725574204124211e-05,0.3475877192982456,0.9999967813491821,0.6867690058479532,0.8137721957557384,5.588361306186316e-05,0.9999740123748779,0.7101608187134503,0.8266326313550308,0.0004098131624536632,0.2452079802751541,0.7105263157894737,0.8214663004436932,0.0009872771640929159,0.003843829035758972,0.2
road,concat_fusion,42,0.2,20,0.9824881688792783,0.9982896237172176,0.639985380116959,0.7799554565701559,0.8854183455553553,0.7427797808208324,0.8331998880584781,5.588361306186316e-05,0.36001461988304095,0.9996582120656967,0.6783625730994152,0.8074831411790299,9.313935510310526e-05,0.9987974166870117,0.6882309941520468,0.8116379310344827,0.00039118529143304214,0.950205385684967,0.6926169590643275,0.8091374893253629,0.0009872771640929159,0.2805255353450775,0.2
road,transformer,42,0.2,20,0.9847746326592105,0.9942074776198,0.6900584795321637,0.8146709816612729,0.9033660999634701,0.7437926875377144,0.8547946900872383,0.0002049065812268,0.30994152046783624,0.9999997615814209,0.6012426900584795,0.750285062713797,7.451148408248421e-05,0.9999998807907104,0.702485380116959,0.82066609735269,0.0004843246465361474,0.9999985694885254,0.7057748538011696,0.8196095076400679,0.0008382541959279473,0.9957797527313232,0.2
road,cmf_can,42,1.0,20,0.9841011006930289,1.0,0.6721491228070176,0.8039344262295082,0.8978245235532234,0.8038197425137275,0.9385569614696104,0.0,0.32785087719298245,0.9999983310699463,0.702485380116959,0.8243619987132746,9.313935510310526e-05,0.9990532994270325,0.7094298245614035,0.8254305762279396,0.0004843246465361474,0.12478645890951157,0.7105263157894737,0.8225089909033214,0.0008755099379691895,0.010578831657767296,0.2
road,concat_fusion,42,1.0,20,0.982718587709814,1.0,0.643640350877193,0.7831887925283523,0.8870947147031789,0.7504839184107648,0.8750976533457779,0.0,0.35635964912280704,0.9999831914901733,0.7068713450292398,0.8275566966195977,7.451148408248421e-05,0.8145970702171326,0.70796783625731,0.827070879590094,0.0002049065812268316,0.22786788642406464,0.7083333333333334,0.8231046931407943,0.0006519754857217369,0.005973451770842075,0.2
road,transformer,42,1.0,20,0.9857494815576313,0.9979381443298968,0.7076023391812866,0.8280581693755347,0.9103124374364222,0.7868650701164701,0.9346145727360085,7.451148408248421e-05,0.29239766081871343,1.0,0.7076023391812866,0.8280581693755347,7.451148408248421e-05,1.0,0.70796783625731,0.827070879590094,0.0002049065812268316,0.9999991655349731,0.7094298245614035,0.8215873015873016,0.0008941378089898105,0.00014814891619607806,0.2
