dataset,model,granularity,window_size,f1,auroc,aupr,mean_attack_ratio,precision,recall,fpr,fnr
ctt_test01,GradientBoosting,sample,1,0.8521190543418946,0.8755417853308363,0.8088365679437188,,,,,
ctt_test02,GradientBoosting,sample,1,0.9649126180068643,0.998277110503329,0.9459407282859518,,,,,
ctt_test03,GradientBoosting,sample,1,0.657375165926924,0.7500649073201824,0.5443757866734771,,,,,
ctt_test04,GradientBoosting,sample,1,0.3883776726495897,0.5925827110506519,0.2422355206604559,,,,,
ctt_test01,GradientBoosting,window_5,5,0.870952778550886,0.9824948317114255,0.9301390542701629,0.43040299268831833,0.958350347080441,0.7981635776228533,0.0009179868727877191,0.20183642237714675
ctt_test02,GradientBoosting,window_5,5,0.913447782546495,0.9974637582367644,0.980603131662038,0.3587173604282749,0.9857135626249589,0.851054299136895,0.0009423646759317224,0.148945700863105
ctt_test03,GradientBoosting,window_5,5,0.6733753210654094,0.837446675461304,0.6563350199972754,0.22785710378029433,0.9435022677972786,0.5234969090212812,0.00033532852832326374,0.47650309097871874
ctt_test04,GradientBoosting,window_5,5,0.5168307289874028,0.7874765482740954,0.5140487763254977,0.2784478545596716,0.8738361266294227,0.3669240543446388,0.0002057805346800948,0.6330759456553612
ctt_test01,GradientBoosting,window_10,10,0.9655213803450864,0.9765395529309028,0.9329653782849036,0.37497037212609624,0.9780533771049912,0.9533064707276606,0.0006523451899932778,0.04669352927233942
ctt_test02,GradientBoosting,window_10,10,0.9948197775957848,0.9967256013347936,0.9901441834923794,0.3236093041592746,0.9959302210719718,0.9937118076089099,0.00034676748734972004,0.0062881923910900845
ctt_test03,GradientBoosting,window_10,10,0.676481092020158,0.8478090651608308,0.6777720549468647,0.12733109140935495,0.9635993669455121,0.5211861815958423,0.00038009034818400623,0.47881381840415776
ctt_test04,GradientBoosting,window_10,10,0.6001249888402821,0.8452561599829853,0.6184722776882597,0.19194178682118315,0.8891534391534391,0.45290392130440643,0.000318721099260704,0.5470960786955936
ctt_test01,GradientBoosting,window_20,20,0.9685299295774649,0.9722703478086661,0.9413131660211789,0.3394121433168848,0.9941269482719675,0.944217978974469,0.00018853763682575135,0.055782021025531
ctt_test02,GradientBoosting,window_20,20,0.9927340911754364,0.9942406364995051,0.9866476296414944,0.31975186007557166,0.995534140322012,0.9899497487437185,0.00038419929833075517,0.010050251256281407
ctt_test03,GradientBoosting,window_20,20,0.6676522221195602,0.8527282504216144,0.7094153163550865,0.07244990258836627,0.9934011547979104,0.5027831895352074,0.00011500146147690627,0.49721681046479266
ctt_test04,GradientBoosting,window_20,20,0.641630351192002,0.8947361684329831,0.7227739499342077,0.1383987563155849,0.942394578313253,0.48639720171006606,0.00023327580213333007,0.5136027982899339
ctt_test01,GradientBoosting,window_50,50,0.9526952695269527,0.9589913253709829,0.9206990713250729,0.33252758801891746,0.9994229659549914,0.9101418812401472,1.8141576865861182e-05,0.08985811875985286
ctt_test02,GradientBoosting,window_50,50,0.9833826759621812,0.9847852407983451,0.970291855148474,0.30907841476042547,0.9978680104661304,0.9693118704697354,0.00018591915896933178,0.03068812953026452
ctt_test03,GradientBoosting,window_50,50,0.7399509966227402,0.923402523710035,0.853070741558628,0.04378469301934398,0.9996421542315262,0.587363330529857,1.2255878225593951e-05,0.412636669470143
ctt_test04,GradientBoosting,window_50,50,0.6274193548387097,0.9202397169226981,0.8235315589679248,0.11202516712544239,0.9915038232795242,0.45890680298859615,3.8187907417237256e-05,0.5410931970114039
ctt_test01,GradientBoosting,window_100,100,0.9423339710303362,0.9461581600772684,0.8959658008443454,0.327366787377134,0.9988412514484357,0.8918779099844801,3.6304888453230226e-05,0.10812209001551992
ctt_test02,GradientBoosting,window_100,100,0.956386292834891,0.9652049300331677,0.9353957929975343,0.2927371611982882,0.9836034677723332,0.9306348074179743,0.0014779078261165,0.06936519258202568
ctt_test03,GradientBoosting,window_100,100,0.7966997757129125,0.9597628266647094,0.9249902867151728,0.027732054867492344,0.9995979899497487,0.6622719403382608,2.5368477130317865e-05,0.33772805966173924
ctt_test04,GradientBoosting,window_100,100,0.6678067550235144,0.9024154739312791,0.784533638387578,0.09464451827242525,0.9364508393285371,0.518936877076412,0.0004055243123302345,0.48106312292358805
