feature,tree_importance,univariate_auc_abs,effect_size
delta_t_same_id,0.4802099169949528,0.9932036758916505,-0.6006707549095154
data3,0.10348726128990254,0.8269086080263235,-1.2199299335479736
payload_sum,0.07516879266217716,0.9285706269463541,-1.537981390953064
payload_mean,0.06998494313847359,0.9285706269463541,-1.537981390953064
dlc,0.05713279210917428,0.6816079887184912,0.8889108300209045
data1,0.040590231795867154,0.8545622433750514,-1.2628430128097534
payload_delta_l1,0.03936154768019785,0.7604557717844762,-0.04558277502655983
payload_std,0.028280761934480387,0.9307254409777308,-1.9772052764892578
can_id,0.0244556306422893,0.9369316575591986,-1.3957394361495972
data2,0.02039663479916577,0.7982992279217345,-0.9474095106124878
data4,0.01770806363905329,0.6914309195604912,-0.5655823349952698
data6,0.017503480434630448,0.7157865515012634,-0.8134725689888
delta_t_global,0.015586844422541064,0.645165283506669,-0.06147587671875954
data7,0.003929272578408665,0.7093,-0.7345088124275208
data5,0.003237424160573362,0.6950811598801341,-0.8661025166511536
data0,0.0029664017181123895,0.832043579528762,-0.8632828593254089
